label,text
1,Limited-time offer: Act now to claim your exclusive prize! We just need your bank details to transfer the funds.
1,Your subscription will expire soon. Renew now by providing your payment details to continue the service.
1,Immediate action required! Your account will be locked due to suspicious activity. Provide your details to secure it.
1,Immediate action required! Your account will be locked due to suspicious activity. Provide your details to secure it.
1,Limited-time offer: Act now to claim your exclusive prize! We just need your bank details to transfer the funds.
1,Urgent! We detected unauthorized access to your account. Verify your identity now to prevent any losses.
1,Urgent! We detected unauthorized access to your account. Verify your identity now to prevent any losses.
1,You have an unpaid invoice. Your service will be terminated unless you update your billing information immediately.
1,Your account will be permanently locked if you don't respond within 24 hours. Please provide your login details to avoid suspension.
1,Limited-time offer: Act now to claim your exclusive prize! We just need your bank details to transfer the funds.
1,Limited-time offer: Act now to claim your exclusive prize! We just need your bank details to transfer the funds.
1,You have an unpaid invoice. Your service will be terminated unless you update your billing information immediately.
1,Immediate action required! Your account will be locked due to suspicious activity. Provide your details to secure it.
1,You have an unpaid invoice. Your service will be terminated unless you update your billing information immediately.
1,You have an unpaid invoice. Your service will be terminated unless you update your billing information immediately.
1,Your account will be permanently locked if you don't respond within 24 hours. Please provide your login details to avoid suspension.
1,Immediate action required! Your account will be locked due to suspicious activity. Provide your details to secure it.
1,Important: Your account security is at risk. Please confirm your personal information to secure it.
1,You have an unpaid invoice. Your service will be terminated unless you update your billing information immediately.
1,"Congratulations! You've won a luxury vacation. To proceed, kindly provide your credit card details for confirmation."
1,Exclusive deal! You've been selected for a special reward. Please enter your bank details to claim it.
1,Urgent! We detected unauthorized access to your account. Verify your identity now to prevent any losses.
1,You have an unpaid invoice. Your service will be terminated unless you update your billing information immediately.
1,Exclusive deal! You've been selected for a special reward. Please enter your bank details to claim it.
1,Immediate action required! Your account will be locked due to suspicious activity. Provide your details to secure it.
1,Limited-time offer: Act now to claim your exclusive prize! We just need your bank details to transfer the funds.
1,Urgent! We detected unauthorized access to your account. Verify your identity now to prevent any losses.
1,Your payment is overdue. Avoid penalties by updating your payment information as soon as possible.
1,Important: Your account security is at risk. Please confirm your personal information to secure it.
1,Limited-time offer: Act now to claim your exclusive prize! We just need your bank details to transfer the funds.
1,Exclusive deal! You've been selected for a special reward. Please enter your bank details to claim it.
1,Important: Your account security is at risk. Please confirm your personal information to secure it.
1,Immediate action required! Your account will be locked due to suspicious activity. Provide your details to secure it.
1,You have an unpaid invoice. Your service will be terminated unless you update your billing information immediately.
1,"Congratulations! You've won a luxury vacation. To proceed, kindly provide your credit card details for confirmation."
1,Urgent! We detected unauthorized access to your account. Verify your identity now to prevent any losses.
1,Your subscription will expire soon. Renew now by providing your payment details to continue the service.
1,Important: Your account security is at risk. Please confirm your personal information to secure it.
1,Your account will be permanently locked if you don't respond within 24 hours. Please provide your login details to avoid suspension.
1,Your payment is overdue. Avoid penalties by updating your payment information as soon as possible.
1,Your payment is overdue. Avoid penalties by updating your payment information as soon as possible.
1,Urgent! We detected unauthorized access to your account. Verify your identity now to prevent any losses.
1,Your subscription will expire soon. Renew now by providing your payment details to continue the service.
1,Immediate action required! Your account will be locked due to suspicious activity. Provide your details to secure it.
1,Immediate action required! Your account will be locked due to suspicious activity. Provide your details to secure it.
1,Urgent! We detected unauthorized access to your account. Verify your identity now to prevent any losses.
