label,text
0,"hi, how are you doing? i'm fine. how about yourself?"
0,i'm fine. how about yourself? i'm pretty good. thanks for asking.
0,i'm pretty good. thanks for asking. no problem. so how have you been?
0,no problem. so how have you been? i've been great. what about you?
0,i've been great. what about you? i've been good. i'm in school right now.
0,i've been good. i'm in school right now. what school do you go to?
0,what school do you go to? i go to pcc.
0,i go to pcc. do you like it there?
0,do you like it there? it's okay. it's a really big campus.
0,it's okay. it's a really big campus. good luck with school.
0,good luck with school. thank you very much.
0,how's it going? i'm doing well. how about you?
0,"i'm doing well. how about you? never better, thanks."
0,"never better, thanks. so how have you been lately?"
0,so how have you been lately? i've actually been pretty good. you?
0,i've actually been pretty good. you? i'm actually in school right now.
0,i'm actually in school right now. which school do you attend?
0,which school do you attend? i'm attending pcc right now.
0,i'm attending pcc right now. are you enjoying it there?
0,are you enjoying it there? it's not bad. there are a lot of people there.
0,it's not bad. there are a lot of people there. good luck with that.
0,good luck with that. thanks.
0,how are you doing today? i'm doing great. what about you?
0,"i'm doing great. what about you? i'm absolutely lovely, thank you."
0,"i'm absolutely lovely, thank you. everything's been good with you?"
0,everything's been good with you? i haven't been better. how about yourself?
0,i haven't been better. how about yourself? i started school recently.
0,i started school recently. where are you going to school?
0,where are you going to school? i'm going to pcc.
0,i'm going to pcc. how do you like it so far?
0,how do you like it so far? i like it so far. my classes are pretty good right now.
0,i like it so far. my classes are pretty good right now. i wish you luck.
0,it's an ugly day today. i know. i think it may rain.
0,"i know. i think it may rain. it's the middle of summer, it shouldn't rain today."
0,"it's the middle of summer, it shouldn't rain today. that would be weird."
0,"that would be weird. yeah, especially since it's ninety degrees outside."
0,"yeah, especially since it's ninety degrees outside. i know, it would be horrible if it rained and it was hot outside."
0,"i know, it would be horrible if it rained and it was hot outside. yes, it would be. "
0,"yes, it would be.  i really wish it wasn't so hot every day. "
0,i really wish it wasn't so hot every day.  me too. i can't wait until winter.
0,"me too. i can't wait until winter. i like winter too, but sometimes it gets too cold."
0,"i like winter too, but sometimes it gets too cold. i'd rather be cold than hot."
0,i'd rather be cold than hot. me too.
0,it doesn't look very nice outside today. you're right. i think it's going to rain later.
0,"you're right. i think it's going to rain later. in the middle of the summer, it shouldn't be raining."
0,"in the middle of the summer, it shouldn't be raining. that wouldn't seem right."
0,"that wouldn't seem right. considering that it's over ninety degrees outside, that would be weird."
0,"considering that it's over ninety degrees outside, that would be weird. exactly, it wouldn't be nice if it started raining. it's too hot."
0,"exactly, it wouldn't be nice if it started raining. it's too hot. i know, you're absolutely right."
0,"i know, you're absolutely right. i wish it would cool off one day."
0,"i wish it would cool off one day. that's how i feel, i want winter to come soon."
0,"that's how i feel, i want winter to come soon. i enjoy the winter, but it gets really cold sometimes."
0,"i enjoy the winter, but it gets really cold sometimes. i know what you mean, but i'd rather be cold than hot."
0,"i know what you mean, but i'd rather be cold than hot. that's exactly how i feel."
0,i wish it was a nicer day today. that is true. i hope it doesn't rain.
0,that is true. i hope it doesn't rain. it wouldn't rain in the middle of the summer.
0,it wouldn't rain in the middle of the summer. it wouldn't seem right if it started raining right now.
0,it wouldn't seem right if it started raining right now. it would be weird if it started raining in ninety degree weather.
0,it would be weird if it started raining in ninety degree weather. any rain right now would be pointless.
0,"any rain right now would be pointless. that's right, it really would be."
0,"that's right, it really would be. i want it to cool down some."
0,"i want it to cool down some. i know what you mean, i can't wait until it's winter."
0,"i know what you mean, i can't wait until it's winter. winter is great. i wish it didn't get so cold sometimes though."
0,winter is great. i wish it didn't get so cold sometimes though. i would rather deal with the winter than the summer.
0,"it's such a nice day. yes, it is."
0,"yes, it is. it looks like it may rain soon."
0,"it looks like it may rain soon. yes, and i hope that it does."
0,"yes, and i hope that it does. why is that?"
0,why is that? i really love how rain clears the air.
0,i really love how rain clears the air. me too. it always smells so fresh after it rains.
0,"me too. it always smells so fresh after it rains. yes, but i love the night air after it rains."
0,"yes, but i love the night air after it rains. really? why is it?"
0,really? why is it? because you can see the stars perfectly.
0,because you can see the stars perfectly. i really hope it rains today.
0,"i really hope it rains today. yeah, me too."
0,isn't it a nice day? it really is.
0,it really is. it seems that it may rain today.
0,it seems that it may rain today. hopefully it will.
0,hopefully it will. how come?
0,how come? i like how clear the sky gets after it rains.
0,i like how clear the sky gets after it rains. i feel the same way. it smells so good after it rains.
0,i feel the same way. it smells so good after it rains. i especially love the night air when it rains.
0,i especially love the night air when it rains. really? why?
0,really? why? the stars look so much closer after it rains.
0,the stars look so much closer after it rains. i really want it to rain today.
0,"i really want it to rain today. yeah, so do i."
0,"don't you think it's nice out? yes, i think so too."
0,"yes, i think so too. i think that it's going to rain."
0,i think that it's going to rain. i hope that it does rain.
0,i hope that it does rain. you like the rain?
0,you like the rain? the sky looks so clean after it rains. i love it.
0,the sky looks so clean after it rains. i love it. i understand. rain does make it smell cleaner.
0,i understand. rain does make it smell cleaner. i love most how it is at night after it rains.
0,i love most how it is at night after it rains. how come?
0,how come? you can see the stars so much more clearly after it rains.
0,you can see the stars so much more clearly after it rains. i would love for it to rain today.
0,i really want to go to the beach this weekend. that sounds like fun. what's the weather going to be like?
0,that sounds like fun. what's the weather going to be like? i heard that it's going to be warm this weekend.
0,i heard that it's going to be warm this weekend. is it going to be perfect beach weather?
0,is it going to be perfect beach weather? i believe so.
0,i believe so. good. i hope it doesn't cool off this weekend.
0,good. i hope it doesn't cool off this weekend. i know. i really want to go to the beach.
0,i know. i really want to go to the beach. but you know that california weather is really unpredictable.
0,"but you know that california weather is really unpredictable. you're right. one minute it's hot, and then the next minute it's cold."
0,"you're right. one minute it's hot, and then the next minute it's cold. i really wish the weather would just stay the same."
0,i really wish the weather would just stay the same. i do too. that way we can have our activities planned ahead of time.
0,"i do too. that way we can have our activities planned ahead of time. yeah, that would make things a lot easier."
0,i would like to take a trip to the beach this weekend. a trip to the beach would be fun. how is the weather going to be?
0,a trip to the beach would be fun. how is the weather going to be? the forecast says that it will be warm on the weekend.
0,the forecast says that it will be warm on the weekend. so do you think it'll be perfect weather for the beach?
0,so do you think it'll be perfect weather for the beach? it sounds like it will be.
0,it sounds like it will be. i really hope it doesn't get cold.
0,"i really hope it doesn't get cold. that would ruin things, i want to go so badly."
